"x","y","GID","200w_3C"
-82.0416836,36.8750005,64333,-1.02187645435333
-82.0416836,36.95833383,64334,-0.999551951885223
-82.0416836,37.04166716,64335,-1.05239915847778
-82.0416836,37.45833381,64336,-1.93217062950134
-82.0416836,37.54166714,64337,-2.06747531890869
-82.0416836,37.79166713,64338,-2.25142550468445
-82.0416836,37.87500046,64339,-2.38572406768799
-82.0416836,37.95833379,64340,-2.52002239227295
-82.0416836,38.04166712,64341,-2.66149044036865
-82.0416836,38.12500045,64342,-2.81012797355652
-82.0416836,38.20833378,64343,-2.95876526832581
-82.0416836,38.29166711,64344,-3.06966757774353
-82.0416836,38.37500044,64345,-3.14283561706543
-82.0416836,38.45833377,64346,-3.21600341796875
-82.0416836,38.5416671,64347,-3.24390935897827
-82.0416836,38.62500043,64348,-3.22655367851257
-82.0416836,38.70833376,64349,-3.20919823646545
-82.0416836,38.79166709,64350,-3.17947030067444
-82.0416836,38.87500042,64351,-3.13737058639526
-82.0416836,38.95833375,64352,-3.09527063369751
-82.0416836,39.04166708,64353,-3.02848744392395
